REPLICA_ID,TITLE,YEAR,MEDIUM, SIZE Height (in),OWNER,OWNER #,owner date,owner_LOC,In London,abroad,UK provinces,LAT,LONG,owner_PRICE,owner_PROF
108_01,Dante's Dream at the Time of the Death of Beatrice ,1856,w/c,18.5,Ellen Heaton,1,1856,London,yes,,,51.38237313,-0.06054314,52.5,collector
108_01,Dante's Dream at the Time of the Death of Beatrice ,1856,w/c,18.5,Beresford Heaton,2,1894,London,yes,,,51.48201585,-0.21163928,0,lawyer
108_01,Dante's Dream at the Time of the Death of Beatrice ,1856,w/c,18.5,Tate Museum,3,1940,London,yes,,,51.49098900,-0.12665100,0,museum
108_02,Dante's Dream at the Time of the Death of Beatrice ,1871,oil,83,William Graham,1,1872,London,yes,,,55.864237,-4.251806,1574,politician
108_02,Dante's Dream at the Time of the Death of Beatrice  ,1871,oil,83,Leonard Valpy,2,1873,London,yes,,,51.56750849,-0.09254522,1502,lawyer
108_02,Dante's Dream at the Time of the Death of Beatrice  ,1871,oil,83,Walker Art Gallery,3,1881,Liverpool,,,yes,53.38837508,-2.92035654,1550,museum
108_03, Dante's Dream at the Time of the Death of Beatrice ,1880,oil,52,William Graham,1,1880,Glasgow,,,yes,55.86423700,-4.25180600,50,politician
108_03, Dante's Dream at the Time of the Death of Beatrice ,1880,oil,52,Christies,2,1886,London,yes,,,51.57742746,-0.029682,0,auction house
108_03, Dante's Dream at the Time of the Death of Beatrice ,1880,oil,52,Joseph Ruston,3,1886,Lincolnshire,,,yes,53.60556,-0.55966,1050,manufacturer
108_03, Dante's Dream at the Time of the Death of Beatrice ,1880,oil,52,Christies,4,1898,London,yes,,,51.57742746,-0.029682,0,auction house
108_03, Dante's Dream at the Time of the Death of Beatrice  ,1880,oil,52,William Imrie,5,1898,Liverpool,,,yes,53.41058,-2.92035654,3150,shipping
108_03, Dante's Dream at the Time of the Death of Beatrice ,1880,oil,52,Christies,6,1907,London,yes,,,51.57742746,-0.029682,0,auction house
108_03, Dante's Dream at the Time of the Death of Beatrice ,1880,oil,52,Ethel M. Colman,7,1907,Norwich,,,yes,52.62783,1.29834,2520,politician
108_03, Dante's Dream at the Time of the Death of Beatrice ,1880,oil,52,Dundee City Museum,8,1949,Dundee,,,yes,56.46913,-2.97489,0,museum
