REPLICA_ID,TITLE,YEAR,MEDIUM, SIZE Height (in),OWNER,OWNER #,owner date,owner_LOC,In London,abroad,UK provinces,LAT,LONG,owner_PRICE,owner_PROF
114_01,Hesterna Rosa,1853,ink,7.5,F G Stephens,1,1853,London,yes,,,51.49219233,-0.04041174,0,writer
114_01,Hesterna Rosa,1853,ink,7.5,Lt-Col H F Stephens,2,1907,Tonbridge,,,yes,51.19242,0.27532,0,descendant
114_01,Hesterna Rosa,1853,ink,7.5,Tate Museum,3,1932,London,yes,,,51.490989,-0.126651,0,museum
114_02,Hesterna Rosa,1853,pencil & ink,3.875,F G Stephens,1,1853,London,yes,,,51.49219233,-0.04041174,0,writer
114_02,Hesterna Rosa,1853,pencil & ink,3.875,Leicester Galleries,2,1/1/2000,London,yes,,,51.38392546,-0.04762393,0,dealer
114_02,Hesterna Rosa,1853,pencil & ink,3.875,Kenneth Clark,3,1960,London,yes,,,51.42758142,-0.04306725,1,writer
114_02,Hesterna Rosa,1853,pencil & ink,3.875,Mrs Robin Carver,4,1970,Canterbury,,,yes,51.27904,1.07992,0,politician
114_02,Hesterna Rosa,1853,pencil & ink,3.875,Carver descendant,5,1990,Off coast,yes,,,51.57742746,-0.029682,11250,unknown
114_02,Hesterna Rosa,1853,pencil & ink,5.28,Christies,6,2014,London,yes,,,51.57742746,-0.029682,0,auction house
114_02,Hesterna Rosa,1852,pencil and ink ,3.875,Private collection,7,2014,,,,,52.483131,1.804547,,unknown
114_03,Hesterna Rosa,1865,w/c,10.75,Frederick Craven,1,1865,Manchester,,,yes,53.4807593,-2.2426305,131,manufacturer
114_03,Hesterna Rosa,1853,w/c,10.75,Christies,2,1895,London,yes,,,51.57742746,-0.029682,0,auction house
114_03,Hesterna Rosa,1865,w/c,10.75,Charles Fairfax Murray,3,1895,London,yes,,,51.60453756,0.06122559,215,dealer
114_03,Hesterna Rosa,1865,w/c,10.75,Major Charles Sydney Goldman,4,1895,Falmouth,,,yes,50.15257099,-5.06627,,politician
114_03,Hesterna Rosa,1865,w/c,10.75,Agnew,5,1925,London,yes,,,39.73907210,-75.53978780,1,dealer
114_03,Hesterna Rosa,1865,w/c,10.75,ESTATE of Samuel Bancroft,6,1925,Wilmington ,,yes,,39.73907210,-75.53978780,,family estate
114_03,Hesterna Rosa,1865,w/c,10.75,Delaware Art Museum,7,1925,Wilmington ,,yes,,39.7458333,-75.5469444,1,museum
